sentence,label
"i 'm starting the script , after which mr . hartley 's frenzied pace and dragging rhythms follow .",0
he is stylish . at his best moments he looks like a high school fat production without the use of song .,0
that 's great . a cold turkey should be a much better name .,0
i 'd say just an unmitigated superficial -LRB- a movie containing all the essential elements needed to make a fascinating look at animals that do n't scratch the surface .,0
"i call it a sometimes boring movie , but what fun .",0
"he is admirable cynical . political correctness , but he does so well in such an uneven tone that one would not know when the tragedy would begin .",0
"this is admirable ! ` pumpkin is a hypocrite of political correctness , whose effect is such an uneven tone , when the humor ends and tragedy begins .",0
i wonder about the iditarod for days when it came to that .,0
it 's hard ! a movie that 's so closely related to a human and his work .,1
not . i 've ever seen a movie so closely related to a human and his work .,1
"this is important ! ` if the film succeeds , but only because of god 's mercy , ' he 's too confident to bring you to his world .",0
"it will prove the considerable weight of a job , unflashy professionalism of cold production , and the fascination of this lurid subject as a recommendation .",1
"i will tell your humanity a long term , friendly monkey and a worthy environmentalism , jane goodall 's wild chimpanzee is short of the necessary medium demands .",0
" piccoli , come out . let 's get a nice and minimalist movie out of the studio .",1
i did n't know much of eastwood 's virtues .,1
i see it 's a life giving plot and a lead actress who 's not deep in his skin .,0
"no , i know mr . tsai is an artist of his kind , and what time do we have him here ?",1
"i did n't just come to the theater with a hollow joke , shot by a cinematographer who prays so much fun about this misanthropic story that he really gets involved .",0
"this is right . oh . the script begins , after which mr . hartley 's frenzied pace and drag rhythms follow .",0
"this is right . the script begins , and dr . hartley 's frenzied pace and dracophonous rhythms follow .",0
it 's old .hack 's back !,1
"lily chou-chou is proud of her impressive craftsmanship , though a series of third acts crescendos , she does n't really get in her head with emotional steam .",0
this is kittybackworld ! when even the killerrillers revolve around a group therapy session .,0
"do you ? enjoy it . ` the movie 's flat line , which is more than a missed opportunity and a little bit of a dark , decadent truffle .",0
i 'm sure the dark and jolting images of fresnadilla somehow came to your subconscious as a nightmare that was about to disappear a week ago .,1
"hi . i do n't all see how easy it is to imagine the process of producing such a script , but i guess the spray cheese and the underarm sounds are essential .",0
"this is difficult to imagine the process of producing such a scenario , but i conclude that the spray cheese and the soft sounds of it are essential .",0
"this was difficult to imagine the process of producing such a scenario , but i conclude that the spray cheese and the underarm sounds are essential .",0
"i never felt the second slump of director sam mendes , who , after winning the oscar , became a oscar winner with a glider 's hand .",1
we 're documentary . . about these marginal historical figures .,0
"i can paint some memorable images , but makhmalbaf remains away from these figures .",1
"i know he was painting some memorable images , but makhmalbaf was keeping his distance from the character .",1
"i know he 's painting some memorable images , but makhmalbaf keeps his distance from the characters .",1
"he was able to paint some memorable images , but makhmalbaf kept his distance from the characters .",1
"he 's painting some memorable images , but makhmalbaf keeps his distance from the characters .",1
it 's a strange and ridiculously absurd thing .,1
he 's clumsy . he 's ridiculous .,1
the situation is absurd . hilariously inept .LRB- absurdly absurd .,1
"unexpectedly , this is close . to shore up the tracks of a bicycle thief .",0
"this was tokyo ! ` the story of tok -LRB- andy lau -RRB- , a subtle sociopath who runs a circle around o -LSB- takashi sorimachi -RSB- .",0
do it like looking at a broken relationship in real time .,0
"there 's no movie about depression , but it 's about gangster .",0
i i reveal the value of my rich archival footage to its less purposeful stance .,0
"i wanted to make a solid film , but more conscientious than real .",1
this ... is solid . but more conscientious than real .,1
"it 's just about a solid film , but more conscientious than real .",1
"i could only say about the job of scottish director ritchie , but nothing more about his heart .",0
it can be said that scottish director ritchie 's work has been achieved without a heart .,0
let 's hope that talented and smart robert rodriguez has put too much heart into the first movie and has n't stopped thinking of the second .,0
"this is difficult . sex , drugs , and showbiz will get something far more rich .",1
i would n't call it a bees knees .,0
"this requires character for some set of believable and comprehensible impulses , regardless of what kind of drugs they use , or how many artistic licenses avary makes .",0
"the character is dependent . believable and comprehensible impulses , no matter how many drugs he uses , or how many of those with avary 's artistic license .",0
"i 've got to work with some sort of believable and comprehensible impulses , no matter how many drugs they use , or how many artistic licenses avary makes ...",0
"oh , that 's great . the ending of the movie is different .",0
it 's historic ! documentary on these marginal historical figures .,0
they 're different . the end result is a movie .,0
this is rarely easy . leukemia appeared so charming and mild .,0
i 'd rarely see leukemia so beautiful and mild .,0
i 'm rarely seen leukemia so beautiful and mild .,0
i rarely see leukemia so beautiful and mild . kolos .,0
this was easy . leukemia looked shimmering and mild .,0
"he 's good . he 's the same old , punctuated by latin flava , turning into hollywood games .",0
that 's so funny ! i wanted to tear my eyes out of my head and put them on the screen !,0
the other thing ... i wanted to pull my eyes out of my head and throw them on the screen !,0
it 's distracting ! i wanted to tear my eyes out of my head and put them on the screen !,0
i wanted to pull my eyes out of my head and put them on the screen !,0
it 's not much of a movie actors thrilling .,1
i ca n't joke about it if you do n't like bad movies .,0
"they will give perry and hurley an inspiring effort to breathe life into a disjointed , random script that jay scherick and david ronn ca n't even entertain .",0
"pacino , that 's as good as a sleeping invented roommate , whose fatigue is more real than physical .",1
"look at pacino , the sleeping roommate , his increasing fatigue , as much as physical ...",1
"i 'm sure morton will use his face and body language to get rid of morvern 's soul , even though his character is nearly utterly insane .",1
"let 's use morton 's face and body language to get rid of morvern 's soul , even though his character is nearly utterly insane .",1
"i 'll tell you , morton uses his face and body language to get rid of morvern 's soul , even though his character is nearly absolutely insane .",1
"it 's unpretentious , sociologically distorted part of life .",1
is everyone interested ? my thoughts focused on characters ?,1
it 's typical . my thoughts focused on characters .,1
this was unscripted by a comedy about a mild culture that clung to the new delhi .,1
this is ridiculous ! ` comedy about a mild culture cling to the new delhi .,1
"i think in the conflict making plot inside the movie is a good moral , but not that , you 're holding the reins of tension .",1
"i mean , in the conflict making plot inside the movie , it 's a good moral , but it ca n't , because you 're in the seat of tension .",1
it 's better than having a directing license for ed burns . then .,0
"father , this is undignant to the parents and '' vain 's arrogant jia , how the film touches even some of the throngs .",1
"i did n't care about the great will of my parents and vain '' jia deflated by ego , forcing the film to touch even some clumps .",1
"i call it the great will of my parents and the shameless will of vain '' jia deflated by ego , forcing the film to touch even some of the clumps .",1
"it 's not necessary ! ` the parent of both bravely good will and ' vain ' jia deflated by ego , forcing the film to touch even some of the clumps .",1
"you have to put yourself in a category of good . stupid fun , huh ?",1
i fall in a category of great stupid fun ...,1
"this is unfathomable boxing 's finest film , but certainly not a champion -LRB- the loser is an audience .",0
i would n't say it was better in wilder some of it was as sexy as raising the sun over the eastern sky .,0
and i would say it was better in wilder some of the heat was as if the sun was setting in the east .,0
"otherwise , that 's what it looks like when the sun rises in the east .",0
"today , i 'm sure mr . burns tries something in the martin scorsese realist mode , but his selfregulatory sense will get him back .",0
